file,SSIM,ΔE00,LPIPS,Ref_paths,Pip_paths,Ref_cmds,Pip_cmds,Ref_gzip,Pip_gzip,Size_Reduction
66,0.26457920077858077,31.80671787983918,0.6347594261169434,222,0,1436689,0,234102,1657,99.29218887493487
67,0.2917073640247827,28.127110731678304,0.5386981964111328,50,0,122627,0,19835,853,95.69952104865138
68,0.23358467260070503,30.849705994848396,0.6013999581336975,228,0,1199978,0,232599,1655,99.28847501493988
69,0.25725664508118745,29.94159677063961,0.587360143661499,245,0,1292137,0,257908,721,99.72044294864835
70,0.25338148069942945,29.970714505457895,0.5953078866004944,218,0,1441779,0,279362,1200,99.57044981063996
71,0.24209372221727063,31.11085057861034,0.6433261632919312,223,0,1250386,0,230493,2170,99.05853973873393
72,0.2878596666338162,29.1433422773639,0.5310901403427124,73,0,255826,0,53095,1657,96.87917883039833
73,0.2821506945966991,31.707036056792756,0.6182870864868164,260,0,1688693,0,292702,2095,99.28425497605072
74,0.2574385493626319,29.98322671441431,0.6443304419517517,276,0,1923158,0,354018,1574,99.55538983893474
75,0.16393885533698194,32.31677119912563,0.6666772961616516,414,0,2599783,0,530548,2123,99.59984770463747
76,0.19116453987351772,32.57715018071231,0.5932711362838745,254,0,1311622,0,244382,2135,99.12636773575795
77,0.08542816216622251,32.318191636521064,0.7015725374221802,641,0,2609222,0,522815,3659,99.30013484693438
78,0.24071756196499672,30.088503006233466,0.6332276463508606,376,0,2599702,0,485185,1355,99.72072508424623
79,0.37687519134818287,26.62166473175587,0.5109109878540039,72,0,216224,0,39300,961,97.55470737913487
80,0.1631782701072192,31.504610872263225,0.6753247976303101,244,0,1283063,0,288249,2237,99.22393486187289
81,0.22798353006582275,31.628524902526035,0.6669140458106995,326,0,2149425,0,399444,1654,99.5859244349646
82,0.2530748170686212,29.26540398318611,0.5946910381317139,212,0,1247323,0,213385,1514,99.29048433582491
83,0.3229131243433594,29.464524106172476,0.5378077626228333,113,0,629081,0,101304,1091,98.92304351259575
84,0.2826743166112719,30.496817890060406,0.6285295486450195,201,0,1565831,0,267072,2099,99.21406961418644
85,0.2748997742801897,30.454584923421137,0.5885356664657593,201,0,1327677,0,224124,1171,99.47752137209758
86,0.24532994641965877,27.863899921669116,0.577286958694458,74,0,214024,0,40590,1022,97.4821384577482
87,0.09942758056801983,31.879586981193786,0.6621026992797852,515,0,2075946,0,494114,3950,99.20058933768321
88,0.062671424158834,33.29307037053625,0.7072087526321411,684,0,2787868,0,540766,2817,99.47907227895246
89,0.2657202413950165,32.016624221507335,0.6256599426269531,173,0,1373357,0,244877,1886,99.22981741854073
90,0.23719600237841398,32.75574972634873,0.656731367111206,202,0,1210775,0,230308,2867,98.75514528370704
91,0.26738813440579573,29.91104207534851,0.5850922465324402,322,0,1602402,0,314948,2675,99.15065344120299
92,0.22256861287797014,32.8440701340426,0.672590434551239,358,0,2495448,0,497748,1618,99.6749359113447
93,0.2224810280296561,32.39200384708422,0.6542952656745911,251,0,1209542,0,255828,3099,98.78863924199072
94,0.1970984104797402,32.580438063332124,0.6443519592285156,339,0,1591930,0,317024,2507,99.20920813566165
95,0.2772487306776359,27.75490968020299,0.5990418195724487,302,0,1755436,0,342319,1355,99.60417037909085
96,0.26549494697154485,31.56578715652102,0.6601402759552002,337,0,2185275,0,420375,1567,99.62723758548915
97,0.28230469560826393,32.10047790290387,0.5838439464569092,112,0,710117,0,138479,1145,99.1731598292882
98,0.21493500418190134,28.64074549833394,0.6379782557487488,354,0,2024163,0,386229,2092,99.45835242822263
99,0.11200311017322205,29.10982859959265,0.6618784070014954,337,0,1330465,0,258086,2038,99.21034073913346
100,0.1447180263141457,32.01948971972675,0.6751856803894043,349,0,1803525,0,315749,1856,99.41219132918869
101,0.1362602189229353,34.35177477013269,0.6986385583877563,243,0,1359179,0,271563,1792,99.34011628977439
102,0.08423352761020426,37.739818897711416,0.7507808804512024,413,0,2045086,0,404396,3594,99.11126717376038
103,0.24736471193271842,33.565501814918264,0.6260601282119751,237,0,1246397,0,233972,1621,99.3071820559725
104,0.2985975357651474,31.471617853605956,0.5603492856025696,145,0,920459,0,180578,936,99.48166443309816
105,0.25122757183655187,31.175759911390358,0.587929368019104,107,0,483324,0,84643,1363,98.3897073591437
106,0.13125136848250066,31.860036694954804,0.6986308693885803,410,0,2306875,0,444402,2921,99.34271222901788
107,0.166625105331693,34.275478034243044,0.6624777317047119,185,0,922987,0,175965,2532,98.56107748700026
